/"154";"0.217";"3216477975";"3214330342"/
/"155";"0.017";"3214323496";"3214330342"/
/"156";"0.212";"3213331515";"3214330342"/
/"157";"0.214";"0911224927";"3214330342"/
/"158";"0.031";"0907722530";"3214330342"/
/"159";"0.032";"0903260237";"3214330342"/
/"160";"0.058";"3216477975";"1744340298"/
/"161";"0.032";"3214323496";"1744340298"/
/"162";"0.006";"3213331515";"1744340298"/
/"163";"0.263";"0911224927";"1744340298"/
/"164";"0.028";"0907722530";"1744340298"/
/"165";"0.039";"0903260237";"1744340298"/
/"166";"0.095";"3216477975";"1217104792"/
/"167";"0.047";"3214323496";"1217104792"/
/"168";"0.265";"3213331515";"1217104792"/
/"169";"0.055";"0911224927";"1217104792"/
/"170";"0.016";"0907722530";"1217104792"/
/"171";"0.003";"0903260237";"1217104792"/
/"172";"0.096";"3216477975";"1216053634"/
/"173";"0.046";"3214323496";"1216053634"/
/"174";"0.027";"3213331515";"1216053634"/
/"175";"0.064";"0911224927";"1216053634"/
/"176";"0.029";"0907722530";"1216053634"/
/"177";"0.026";"0903260237";"1216053634"/
